Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Min,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Bwd/Fwd Ratio,Pkt Len Min,Pkt Len Max,Pkt Size Avg,Malware
0.10102248191833496,4,2,300,206,75,75,103,103,5008.786068125338,59.39272017539926,39.59514678359951,19.797573391799755,0.5,75,103,84.33333333333333,0
41.53412437438965,194,0,20072,0,229,78,0,0,483.26527409294783,4.670858069650851,4.670858069650851,0.0,0.0,78,229,103.4639175257732,0
26.960870504379272,140,65,8740,14706,76,50,489,110,869.6306744321053,7.60361205572727,5.192710672203989,2.4109013835232806,0.4642857142857143,50,489,114.37073170731708,0
0.001134634017944336,8,3,1122,205,433,40,117,40,1169540.1151502416,9694.756041185123,7050.731666316453,2644.02437486867,0.375,40,433,120.63636363636364,0
0.10546565055847168,22,8,5472,2205,830,40,1282,40,72791.47247798713,284.4528037435996,208.59872274530636,75.85408099829323,0.36363636363636365,40,1282,255.9,0
0.08312439918518066,638,297,26090,751589,317,40,10260,40,9355604.46298713,11248.201601037146,7675.243445413582,3572.958155623564,0.46551724137931033,40,10260,831.7422459893048,0
0.0,1,0,55,0,55,55,0,0,0,0,0,0,0.0,55,55,55.0,0
0.0024938583374023438,4,0,304,0,76,76,0,0,121899.46615678776,1603.94034416826,1603.94034416826,0.0,0.0,76,76,76.0,0
0.0,1,0,75,0,75,75,0,0,0,0,0,0,0.0,75,75,75.0,0
0.004669189453125,2,2,150,206,75,75,103,103,76244.49673202615,856.6797385620915,428.33986928104576,428.33986928104576,1.0,75,103,89.0,0
0.0010232925415039062,4,0,160,0,40,40,0,0,156358.02423112767,3908.950605778192,3908.950605778192,0.0,0.0,40,40,40.0,0
0.004465579986572266,6,0,966,0,161,161,0,0,216321.28478376934,1343.6104644954619,1343.6104644954619,0.0,0.0,161,161,161.0,0
45.32911038398743,215,342,25355,20544,1296,51,115,51,1012.572265618826,12.28790936512094,4.743088893179538,7.544820471941404,1.5906976744186045,51,1296,82.40394973070018,0
0.002461671829223633,3,6,225,618,75,75,103,103,342450.19583535107,3656.0519128329297,1218.68397094431,2437.36794188862,2.0,75,103,93.66666666666667,0
0.21604132652282715,5,10,375,1030,75,75,103,103,6503.385359705919,69.4311604239066,23.1437201413022,46.2874402826044,2.0,75,103,93.66666666666667,0
0.6590001583099365,12,4,934,1534,259,40,1406,40,3745.067385612473,24.27920509311166,18.209403819833742,6.069801273277915,0.3333333333333333,40,1406,154.25,0
0.0009992122650146484,1,2,75,206,75,75,103,103,281221.5280362682,3002.365068002863,1000.7883560009544,2001.5767120019088,2.0,75,103,93.66666666666667,0
1.5751299858093262,56,20,9246,8017,428,40,1500,40,10959.730406713072,48.24998615015892,35.55262137380131,12.69736477635761,0.35714285714285715,40,1500,227.14473684210526,0
1.2341749668121338,116,39,14784,66975,871,40,7340,40,66245.87453040227,125.58997238484267,93.98991481704354,31.600057567799123,0.33620689655172414,40,7340,527.4774193548387,0
2.8611419200897217,12,5,1148,2814,366,40,1500,40,1384.7617876556633,5.941683591657314,4.194129594111045,1.7475539975462686,0.4166666666666667,40,1500,233.05882352941177,0
1.5220363140106201,6650,2287,267236,7353228,146,40,10260,40,5006755.706057896,5871.739010254417,4369.146740314633,1502.5922699397843,0.3439097744360902,40,10260,852.6870314423185,0
0.009032487869262695,10,4,940,2303,302,40,2171,40,359037.29370463244,1549.9605648673617,1107.1146891909727,442.8458756763891,0.4,40,2171,231.64285714285714,0
0.23942184448242188,22,11,3096,2987,820,40,1500,40,25407.038414352406,137.83203479757182,91.8880231983812,45.9440115991906,0.5,40,1500,184.33333333333334,0
2.841033697128296,12,3,2044,319,427,40,231,40,831.7395187492882,5.279768422022566,4.223814737618053,1.0559536844045132,0.25,40,427,157.53333333333333,0
2.836250066757202,26,8,3468,5898,621,40,3559,40,3302.2476084799255,11.987659479854523,9.167033719888753,2.8206257599657705,0.3076923076923077,40,3559,275.47058823529414,0
0.3240244388580322,3,6,225,618,75,75,103,103,2601.6556126784967,27.775682697635197,9.258560899211734,18.517121798423467,2.0,75,103,93.66666666666667,0
1.2853503227233887,112,44,9154,79872,470,40,4420,40,69262.05130704952,121.3676903814585,87.13577770976508,34.23191267169342,0.39285714285714285,40,4420,570.6794871794872,0
1.0253779888153076,66,24,9960,18960,339,40,2960,40,28204.233283194757,87.77251021741107,64.36650749276812,23.406002724642953,0.36363636363636365,40,2960,321.3333333333333,0
1.4835550785064697,368,99,27730,326259,406,40,10260,40,238608.59979419786,314.78440319865985,248.05280594669554,66.73159725196429,0.26902173913043476,40,10260,758.0064239828694,0
4.770252704620361,1212,827,60106,1182625,1020,40,1480,40,260516.8063311024,427.44066745668835,254.07458997425516,173.36607748243318,0.6823432343234324,40,1480,609.4806277587053,0
1.2151362895965576,50,25,13220,4185,1434,40,1402,40,14323.49617817661,61.72147160949416,41.14764773966277,20.573823869831386,0.5,40,1434,232.06666666666666,0
0.044240474700927734,10,5,1210,1507,437,40,1343,40,61414.35005766391,339.0560363875446,226.0373575916964,113.0186787958482,0.5,40,1343,181.13333333333333,0
2.615253448486328,321,112,20354,309359,427,40,10260,40,126073.05811634939,165.567127060138,122.74144985289678,42.82567720724124,0.34890965732087226,40,10260,761.4618937644342,0
0.8499517440795898,478,154,29274,423866,405,40,8800,40,533136.1493830499,743.5716255684503,562.3848687052518,181.1867568631983,0.32217573221757323,40,8800,716.993670886076,0
0.8456029891967773,154,39,15372,115543,405,40,7340,40,154818.51610334744,228.23949591678613,182.1185615087309,46.12093440805523,0.2532467532467532,40,7340,678.3160621761658,0
0.8416092395782471,82,19,9714,35084,366,40,4358,40,53228.97835870894,120.00818818316895,97.43239040613717,22.575797777031784,0.23170731707317074,40,4358,443.54455445544556,0
1.1250393390655518,58,27,11580,4839,1500,40,1539,40,14594.156337357486,75.55291361686987,51.553752820922966,23.9991607959469,0.46551724137931033,40,1539,193.16470588235293,0
1.046316385269165,354,105,39388,266621,405,40,8800,40,292463.16344484955,438.6818427601343,338.3297872267703,100.35205553336407,0.2966101694915254,40,8800,666.6862745098039,0
0.2551751136779785,62,30,6548,7927,371,40,1380,40,56725.75115717166,360.53672583487344,242.97040219306686,117.56632364180655,0.4838709677419355,40,1380,157.33695652173913,0
0.7133839130401611,94,29,5814,77754,377,40,8800,40,117143.0957054612,172.41768107136375,131.76635789193654,40.65132317942723,0.30851063829787234,40,8800,679.4146341463414,0
0.803926944732666,32,8,3766,9540,449,40,4420,40,16551.255169615833,49.75576482674232,39.80461186139385,9.951152965348463,0.25,40,4420,332.65,0
0.1748809814453125,66,33,22640,9751,1500,40,1486,40,185217.3960387401,566.0992932553878,377.39952883692524,188.69976441846262,0.5,40,1500,327.1818181818182,0
0.0,1,2,75,206,75,75,103,103,0,0,0,0,2.0,75,103,93.66666666666667,0
2.2104923725128174,68,19,5286,33979,378,40,6376,40,17763.010851453335,39.35774720683662,30.76237712718265,8.595370079653975,0.27941176470588236,40,6376,451.32183908045977,0
2.2082555294036865,10,3,1138,345,401,40,257,40,671.5708305734286,5.886999863421829,4.528461433401406,1.358538430020422,0.3,40,401,114.07692307692308,0
2.196998357772827,2346,1039,94584,3112583,404,40,10260,40,1459794.9009170928,1540.7385208205121,1067.8205523914096,472.91796842910253,0.44288150042625746,40,10260,947.4644017725259,0
0.07587027549743652,20,10,2568,1346,513,40,515,40,51588.05572193085,395.41177099078317,263.6078473271888,131.8039236635944,0.5,40,515,130.46666666666667,0
0.53523850440979,22,11,6132,1617,1500,40,675,40,14477.657971458646,61.654757137454546,41.1031714249697,20.55158571248485,0.5,40,1500,234.8181818181818,0
0.4382784366607666,76,24,4586,48164,309,40,7340,40,120357.27881549693,228.16545747013637,173.40574767730365,54.75970979283273,0.3157894736842105,40,7340,527.5,0
0.1205754280090332,2,4,150,412,75,75,103,103,4660.982832736836,49.76138255590928,16.587127518636425,33.17425503727285,2.0,75,103,93.66666666666667,0
0.0750274658203125,48,24,6024,10369,634,40,1500,40,218493.31869025828,959.6485661989018,639.7657107992678,319.8828553996339,0.5,40,1500,227.68055555555554,0
3.2625784873962402,57,52,3052,73490,236,40,1500,41,23460.585023683438,33.409157947029016,17.470844064042694,15.93831388298632,0.9122807017543859,40,1500,702.2201834862385,0
3.21728777885437,26,17,1444,23065,234,40,1500,44,7617.907282365429,13.365294917855213,8.081341113121757,5.283953804733456,0.6538461538461539,40,1500,569.9767441860465,0
0.0040035247802734375,12,0,432,0,36,36,0,0,107904.91472129585,2997.358742258218,2997.358742258218,0.0,0.0,36,36,36.0,0
0.0059986114501953125,10,5,648,605,156,40,437,40,208881.67376788554,2500.578696343402,1667.052464228935,833.5262321144675,0.5,40,437,83.53333333333333,0
0.014232158660888672,24,9,1910,1573,271,40,634,40,244727.4572318826,2318.692531912755,1686.3218413910945,632.3706905216604,0.375,40,634,105.54545454545455,0
0.005221366882324219,4,2,736,536,184,184,272,264,243614.3693150685,1149.1243835616438,766.0829223744292,383.0414611872146,0.5,184,272,212.0,0
0.0042111873626708984,2,1,256,128,128,128,128,128,91185.68397214517,712.3881560323841,474.92543735492274,237.46271867746137,0.5,128,128,128.0,0
0.005209445953369141,2,1,224,256,112,112,256,256,92140.31670480549,575.8769794050344,383.9179862700229,191.95899313501144,0.5,112,256,160.0,0
0.016765832901000977,14,7,920,4936,212,40,1500,40,349281.7824547432,1252.547375606149,835.0315837374326,417.5157918687163,0.5,40,1500,278.85714285714283,0
0.00997614860534668,6,3,340,169,67,50,61,52,51021.69385560309,902.1517577611548,601.4345051741032,300.7172525870516,0.5,50,67,56.55555555555556,0
43.363199949264526,278,0,17848,0,92,36,0,0,411.5932408328347,6.410965987871361,6.410965987871361,0.0,0.0,36,92,64.20143884892086,0
22.505754709243774,12,6,1296,1197,126,90,309,90,110.77166850023704,0.7997954404349245,0.5331969602899497,0.26659848014497484,0.5,90,309,138.5,0
43.584731340408325,18,3,3200,1280,184,128,840,176,102.78828989468836,0.4818201088813517,0.41298866475544427,0.06883144412590739,0.16666666666666666,128,840,213.33333333333334,0
0.0023419857025146484,4,0,360,0,90,90,0,0,153715.71210424515,1707.952356713835,1707.952356713835,0.0,0.0,90,90,90.0,0
1.1529948711395264,8,0,864,0,126,90,0,0,749.3528563107074,6.93845237324729,6.93845237324729,0.0,0.0,90,126,108.0,0
34.31722092628479,6,3,612,519,126,90,319,100,32.95721417621339,0.2622589987497087,0.1748393324998058,0.0874196662499029,0.5,90,319,125.66666666666667,0
34.32197189331055,6,3,612,489,126,90,309,90,32.078576470560776,0.2622226959446385,0.174815130629759,0.0874075653148795,0.5,90,309,122.33333333333333,0
22.521822214126587,8,2,864,638,126,90,319,319,66.69087366553696,0.4440138060288745,0.3552110448230996,0.0888027612057749,0.25,90,319,150.2,0
43.57796883583069,12,4,2240,661,326,90,309,90,66.5703353666805,0.36715800271178484,0.27536850203383867,0.09178950067794621,0.3333333333333333,90,326,181.3125,0
2.0981531143188477,6,0,684,0,126,90,0,0,326.0009936033941,2.859657838626264,2.859657838626264,0.0,0.0,90,126,114.0,0
22.48926615715027,4,2,432,419,126,90,319,100,37.84027429145045,0.26679394330047324,0.17786262886698215,0.08893131443349107,0.5,90,319,141.83333333333334,0
22.477827072143555,6,3,756,900,126,126,300,300,73.67260165695717,0.40039457422259334,0.26692971614839556,0.13346485807419778,0.5,126,300,184.0,0
3.2222166061401367,10,0,1188,0,126,90,0,0,368.6902977708547,3.1034536849398546,3.1034536849398546,0.0,0.0,90,126,118.8,0
3.221219301223755,6,0,684,0,126,90,0,0,212.3419537875442,1.8626487174345983,1.8626487174345983,0.0,0.0,90,126,114.0,0
0.0,1,2,50,100,50,50,50,50,0,0,0,0,2.0,50,50,50.0,0
38.889984130859375,6,3,684,524,126,90,300,81,31.061982332912464,0.2314220538048114,0.1542813692032076,0.0771406846016038,0.5,81,300,134.22222222222223,0
0.7516555786132812,4,0,504,0,126,126,0,0,670.519868860446,5.321586260797191,5.321586260797191,0.0,0.0,126,126,126.0,0
3.049999475479126,6,0,684,0,126,90,0,0,224.26233364927057,1.967213453063777,1.967213453063777,0.0,0.0,90,126,114.0,0
0.316880464553833,244,143,11800,195797,282,40,4420,40,655127.1637786069,1221.2807139906688,770.0064449967008,451.27426899396806,0.5860655737704918,40,4420,536.4263565891473,0
3.2834010124206543,4,2,504,600,126,126,300,300,336.2367240016434,1.8273735000089315,1.2182490000059543,0.6091245000029771,0.5,126,300,184.0,0
0.0,2,1,252,319,126,126,319,319,0,0,0,0,0.5,126,319,190.33333333333334,0
0.009521007537841797,2,1,252,319,126,126,319,319,59972.64446336455,315.0927029598838,210.06180197325588,105.03090098662794,0.5,126,319,190.33333333333334,0
34.315185546875,6,3,540,300,90,90,100,100,24.478958414855395,0.26227455444487924,0.1748497029632528,0.0874248514816264,0.5,90,100,93.33333333333333,0
3.1399223804473877,80,107,7106,111088,146,75,1084,76,37642.3317773732,59.55561231846615,25.47833682073418,34.07727549773197,Jan-75,75,1084,632.0534759358288,0
0.7735583782196045,90,178,7776,190068,146,73,1084,76,255758.33133027528,346.45090473561885,116.34545308285708,230.10545165276176,1.9777777777777779,73,1084,738.223880597015,0
1.8849296569824219,12,0,900,0,75,75,0,0,477.4713988217509,6.366285317623345,6.366285317623345,0.0,0.0,75,75,75.0,0
0.2053976058959961,4,2,442,222,146,75,146,76,3232.75433081834,29.211635519442833,19.474423679628554,9.737211839814277,0.5,75,146,110.66666666666667,0
2.6226086616516113,86,110,7276,114340,146,73,1084,76,46372.1491423014,74.73474897950167,32.79177761345481,41.942971366046855,1.2790697674418605,73,1084,620.4897959183673,0
2.190657615661621,270,522,23594,561018,146,73,1084,76,266865.98390384973,361.5352733981666,123.25066138573862,238.284612012428,1.9333333333333333,73,1084,738.1464646464647,0
0.02795267105102539,4,1,442,76,146,75,76,76,18531.323860050154,178.87378243291653,143.09902594633323,35.77475648658331,0.25,75,146,103.6,0
1.7772603034973145,12,2,1042,222,146,75,146,76,711.2070176285856,7.877292916772309,6.751965357233408,1.1253275595389014,0.16666666666666666,75,146,90.28571428571429,0
1.2600948810577393,10,4,1034,374,146,75,146,76,1117.3761763226173,11.11027448048057,7.9359103432004074,3.174364137280163,0.4,75,146,100.57142857142857,0
3.0793514251708984,16,10,1484,830,146,75,146,76,751.4569402781227,8.443336407619357,5.195899327765758,3.2474370798535985,0.625,75,146,89.0,0
0.7911505699157715,6,1,592,76,146,75,76,76,844.3399087371163,8.847873295149421,7.583891395842361,1.2639818993070602,0.16666666666666666,75,146,95.42857142857143,0
0.02293252944946289,2,1,150,76,75,75,76,76,9854.996610733371,130.81853908053148,87.21235938702098,43.60617969351049,0.5,75,76,75.33333333333333,0
0.8469328880310059,94,203,8252,217168,146,73,1084,76,266160.404425985,350.6771365207947,110.98872334328183,239.6884131775129,2.1595744680851063,73,1084,758.989898989899,0
0.027949810028076172,4,1,442,76,146,75,76,76,18533.22077966391,178.89209246779834,143.11367397423868,35.77841849355967,0.25,75,146,103.6,0
0.8511662483215332,64,64,5446,67321,146,73,1084,76,85490.93686867131,150.38190277447094,75.19095138723547,75.19095138723547,1.0,73,1084,568.4921875,0
1.7230896949768066,48,25,4148,25084,146,73,1084,76,16964.874251884765,42.365757402421586,27.856936374195016,14.50882102822657,0.5208333333333334,73,1084,400.43835616438355,0
0.9078075885772705,100,173,8490,184648,146,73,1084,76,212752.1320929788,300.7245185379532,110.15550129595356,190.56901724199966,Jan-73,73,1084,707.4652014652015,0
0.3258326053619385,38,51,3308,52400,146,73,1084,76,170971.2259708292,273.14639031025706,116.62430148078391,156.52208882947315,1.3421052631578947,73,1084,625.9325842696629,0
0.7318041324615479,94,201,8236,215000,146,73,1084,76,305048.83765702124,403.1133289828759,128.4496709301367,274.66365805273915,2.1382978723404253,73,1084,756.7322033898305,0
0.856804370880127,124,249,10882,267032,146,73,1084,76,324361.09040214284,435.33858215131045,144.7238181950737,290.61476395623674,2.0080645161290325,73,1084,745.0777479892762,0
0.855797529220581,36,21,3130,19880,146,73,1084,76,26887.20078563021,66.60453910390795,42.06602469720502,24.53851440670293,0.5833333333333334,73,1084,403.6842105263158,0
0.674536943435669,40,24,3414,23132,146,73,1084,76,39354.404911895996,94.87990335121464,59.29993959450915,35.57996375670549,0.6,73,1084,414.78125,0
0.8959245681762695,68,58,5714,60926,146,73,1084,76,74381.26195785809,140.63683983628633,75.89924689577357,64.73759294051276,0.8529411764705882,73,1084,528.8888888888889,0
0.6230480670928955,4,0,300,0,75,75,0,0,481.50378091979616,6.420050412263948,6.420050412263948,0.0,0.0,75,75,75.0,0
0.819035530090332,50,28,4288,27468,146,73,1084,76,38772.43273743888,95.23396377126316,61.04741267388664,34.18655109737652,0.56,73,1084,407.12820512820514,0
0.08880090713500977,4,2,442,222,146,75,146,76,7477.401092203685,67.56687733918992,45.04458489279328,22.52229244639664,0.5,75,146,110.66666666666667,0
0.808800458908081,80,48,6622,49148,146,73,1084,76,68953.96681066693,158.2590595618678,98.91191222616737,59.34714733570042,0.6,73,1084,435.703125,0
0.5360004901885986,40,18,3446,16628,146,73,1084,76,37451.458286795045,108.20885626353058,74.62679742312453,33.58205884040604,0.45,73,1084,346.1034482758621,0
0.6287980079650879,4,0,300,0,75,75,0,0,477.1007480937449,6.361343307916599,6.361343307916599,0.0,0.0,75,75,75.0,0
0.02361893653869629,2,1,150,76,75,75,76,76,9568.593388179479,127.01672639176299,84.67781759450865,42.33890879725433,0.5,75,76,75.33333333333333,0
34.30521321296692,6,3,540,300,90,90,100,100,24.486074311367087,0.26235079619321877,0.17490053079547918,0.08745026539773959,0.5,90,100,93.33333333333333,0
0.021021366119384766,2,1,252,319,126,126,319,319,27162.83978677555,142.7119428376999,95.14129522513326,47.57064761256663,0.5,126,319,190.33333333333334,0
0.003988981246948242,2,1,252,309,126,126,309,309,140637.41222879683,752.0717231486462,501.3811487657641,250.69057438288206,0.5,126,309,187.0,0
1.203211784362793,4,0,360,0,90,90,0,0,299.19919724743374,3.324435524971486,3.324435524971486,0.0,0.0,90,90,90.0,0
0.016707181930541992,2,1,252,300,126,126,300,300,33039.683310738495,179.56349625401356,119.7089975026757,59.85449875133785,0.5,126,300,184.0,0
0.7952132225036621,4,2,300,152,75,75,76,76,568.4010114632098,7.545146169865616,5.030097446577077,2.5150487232885386,0.5,75,76,75.33333333333333,0
0.17784380912780762,4,2,442,222,146,75,146,76,3733.613237685523,33.73746901523063,22.491646010153755,11.245823005076877,0.5,75,146,110.66666666666667,0
0.8501954078674316,4,0,504,0,126,126,0,0,592.8048955994681,4.704800758725937,4.704800758725937,0.0,0.0,126,126,126.0,0
0.059392452239990234,2,1,252,330,126,126,330,330,9799.224952832083,50.51146882903135,33.67431255268757,16.837156276343784,0.5,126,330,194.0,0
0.8262474536895752,4,0,504,0,126,126,0,0,609.9867512443252,4.841164692415279,4.841164692415279,0.0,0.0,126,126,126.0,0
0.6001317501068115,74,9,6384,8748,146,75,1084,76,25214.46331960741,138.30296428280565,123.30625731238094,14.99670697042471,0.12162162162162163,75,1084,182.3132530120482,0
0.0,2,0,150,0,75,75,0,0,0,0,0,0,0.0,75,75,75.0,0
0.6345016956329346,62,79,5068,82752,146,73,1084,76,138407.82554946037,222.22162835884663,97.71447488119497,124.50715347765166,1.2741935483870968,73,1084,622.8368794326241,0
0.0,2,0,150,0,75,75,0,0,0,0,0,0,0.0,75,75,75.0,0
0.45249342918395996,48,61,4030,63240,146,73,1084,76,148665.14221282,240.88747586141488,106.07888845273315,134.80858740868172,1.2708333333333333,73,1084,617.1559633027523,0
0.0,2,0,150,0,75,75,0,0,0,0,0,0,0.0,75,75,75.0,0
0.3995997905731201,28,44,2458,44812,146,73,1084,76,118293.35528981058,180.18027461109293,70.0701067932028,110.11016781789012,1.5714285714285714,73,1084,656.5277777777778,0
0.6034910678863525,36,17,3130,15544,146,73,1084,76,30943.291448211836,87.82234372685163,59.652912720125634,28.169431006725993,0.4722222222222222,73,1084,352.33962264150944,0
0.0,2,0,150,0,75,75,0,0,0,0,0,0,0.0,75,75,75.0,0
0.4190042018890381,48,74,4078,77332,146,73,1084,76,194293.99426776927,291.16653114688427,114.55732372992169,176.6092074169626,1.5416666666666667,73,1084,667.2950819672132,0
0.0,2,0,150,0,75,75,0,0,0,0,0,0,0.0,75,75,75.0,0
